Time,Stage
2022-09-25 00:00:00,1.65
2022-09-25 01:00:00,1.21
2022-09-25 02:00:00,1.03
2022-09-25 03:00:00,1.15
2022-09-25 04:00:00,1.53
2022-09-25 05:00:00,2.0
2022-09-25 06:00:00,2.47
2022-09-25 07:00:00,2.95
2022-09-25 08:00:00,3.2
2022-09-25 09:00:00,3.17
2022-09-25 10:00:00,2.74
2022-09-25 11:00:00,2.18
2022-09-25 12:00:00,1.74
2022-09-25 13:00:00,1.26
2022-09-25 14:00:00,1.03
2022-09-25 15:00:00,1.03
2022-09-25 16:00:00,1.48
2022-09-25 17:00:00,2.02
2022-09-25 18:00:00,2.45
2022-09-25 19:00:00,2.97
2022-09-25 20:00:00,3.32
2022-09-25 21:00:00,3.34
2022-09-25 22:00:00,3.05
2022-09-25 23:00:00,2.55
2022-09-26 00:00:00,2.01
2022-09-26 01:00:00,1.5
2022-09-26 02:00:00,1.19
2022-09-26 03:00:00,1.18
2022-09-26 04:00:00,1.47
2022-09-26 05:00:00,1.96
2022-09-26 06:00:00,2.46
2022-09-26 07:00:00,2.95
2022-09-26 08:00:00,3.35
2022-09-26 09:00:00,3.53
2022-09-26 10:00:00,3.35
2022-09-26 11:00:00,2.86
2022-09-26 12:00:00,2.32
2022-09-26 13:00:00,1.78
2022-09-26 14:00:00,1.32
2022-09-26 15:00:00,1.14
2022-09-26 16:00:00,1.36
2022-09-26 17:00:00,1.73
2022-09-26 18:00:00,2.22
2022-09-26 19:00:00,2.65
2022-09-26 20:00:00,3.03
2022-09-26 21:00:00,3.28
2022-09-26 22:00:00,3.24
2022-09-26 23:00:00,2.71
2022-09-27 00:00:00,2.21
2022-09-27 01:00:00,1.66
2022-09-27 02:00:00,1.12
2022-09-27 03:00:00,0.88
2022-09-27 04:00:00,1.0
2022-09-27 05:00:00,1.48
2022-09-27 06:00:00,2.02
2022-09-27 07:00:00,2.56
2022-09-27 08:00:00,3.03
2022-09-27 09:00:00,3.46
2022-09-27 10:00:00,3.51
2022-09-27 11:00:00,3.21
2022-09-27 12:00:00,2.88
2022-09-27 13:00:00,2.26
2022-09-27 14:00:00,1.68
2022-09-27 15:00:00,1.31
2022-09-27 16:00:00,1.34
2022-09-27 17:00:00,1.65
2022-09-27 18:00:00,2.34
2022-09-27 19:00:00,2.77
2022-09-27 20:00:00,3.21
2022-09-27 21:00:00,3.49
2022-09-27 22:00:00,3.73
2022-09-27 23:00:00,3.51
2022-09-28 00:00:00,3.03
2022-09-28 01:00:00,2.54
2022-09-28 02:00:00,2.03
2022-09-28 03:00:00,1.42
2022-09-28 04:00:00,1.29
2022-09-28 05:00:00,1.39
2022-09-28 06:00:00,1.84
2022-09-28 07:00:00,2.45
2022-09-28 08:00:00,3.05
2022-09-28 09:00:00,3.4
2022-09-28 10:00:00,3.55
2022-09-28 11:00:00,3.44
2022-09-28 12:00:00,3.16
2022-09-28 13:00:00,2.61
2022-09-28 14:00:00,1.94
2022-09-28 15:00:00,1.42
2022-09-28 16:00:00,1.09
2022-09-28 17:00:00,1.07
2022-09-28 18:00:00,1.39
2022-09-28 19:00:00,1.9
2022-09-28 20:00:00,2.38
2022-09-28 21:00:00,2.66
2022-09-28 22:00:00,2.93
2022-09-28 23:00:00,2.85
2022-09-29 00:00:00,2.55
2022-09-29 01:00:00,1.99
2022-09-29 02:00:00,1.43
2022-09-29 03:00:00,0.82
2022-09-29 04:00:00,0.45
2022-09-29 05:00:00,0.4
2022-09-29 06:00:00,0.68
2022-09-29 07:00:00,1.18
2022-09-29 08:00:00,1.73
2022-09-29 09:00:00,2.21
2022-09-29 10:00:00,2.63
2022-09-29 11:00:00,2.77
2022-09-29 12:00:00,2.72
2022-09-29 13:00:00,2.31
2022-09-29 14:00:00,1.85
2022-09-29 15:00:00,1.4
2022-09-29 16:00:00,0.96
2022-09-29 17:00:00,0.75
2022-09-29 18:00:00,0.92
2022-09-29 19:00:00,1.28
2022-09-29 20:00:00,1.72
2022-09-29 21:00:00,2.17
2022-09-29 22:00:00,2.52
2022-09-29 23:00:00,2.71
2022-09-30 00:00:00,2.69
2022-09-30 01:00:00,2.23
2022-09-30 02:00:00,1.73
2022-09-30 03:00:00,1.25
2022-09-30 04:00:00,0.86
2022-09-30 05:00:00,0.51
2022-09-30 06:00:00,0.59
2022-09-30 07:00:00,0.94
2022-09-30 08:00:00,1.46
